icp;tc;ois;usd_loc;libor;inflation;real
0,56;859,61;0,0665;0,037951037;0,92513;1,621066251;-0,69
0,56;845,45;0,066;0,037479409;0,90975;1,602039651;-0,69
0,545;835,02;0,049;0,027419418;0,89863;1,605900988;-0,635
0,54;835,53;0,043;0,023716785;0,86463;1,567627726;-0,68
0,54;835,59;0,043;0,02291775;0,8355;1,567627726;-0,68
0,545;836,44;0,04;0,021456006;0,82863;1,544798196;-0,615
0,515;834,1;0,039;0,020580229;0,83125;1,57523757;-0,535
0,5;839,41;0,033;0,016763207;0,79825;1,571432648;-0,6
0,51;834,89;0,011;0,005466241;0,78288;1,57542989;-0,57
0,5;826,91;0,026;0,012478237;0,78288;1,631230394;-0,47
0,505;823,96;0,029;0,012997619;0,76563;1,708256733;-0,475
0,51;822,49;0,0306;0,01366922;0,76875;1,720928466;-0,47
0,505;817,8;0,027;0,012232987;0,76938;1,698134711;-0,375
0,5;821,18;0,025;0,010609283;0,76175;1,795008168;-0,44
0,495;826,28;0,029;0,012482954;0,75538;1,754874652;-0,345
0,493;820,84;0,043;0,017795056;0,71825;1,735580347;-0,347
0,47;818,07;0,043;0,01776835;0,72188;1,746973653;-0,25
0,435;802,89;0,038;0,015237423;0,70638;1,761612787;-0,285
0,435;802,86;0,035;0,013519891;0,68488;1,773002525;-0,285
0,425;805,88;0,029;0,011275212;0,68175;1,75347041;-0,295
0,45;804,71;0,029;0,011291944;0,68175;1,750872195;-0,25
0,5;805,78;0,036;0,013753676;0,67975;1,779233425;-0,17
0,5;821,64;0,036;0,013889225;0,6805;1,763813377;-0,2
0,495;807,96;0,034;0,012908789;0,67688;1,782810107;-0,155
0,495;806,47;0,028;0,010690864;0,6735;1,763936043;-0,175
0,49;793,72;0,026;0,00943226;0,6375;1,757267021;-0,16
0,5;780,28;0,029;0,010430682;0,6255;1,739052103;-0,09
0,525;770,51;0,0377;0,01308884;0,6225;1,792996966;-0,085
0,51;771,42;0,045;0,015229471;0,62775;1,85487407;-0,1
0,502;769,15;0,05;0,015401991;0,634;2,058175478;-0,118
0,47;768,58;0,055;0,016656592;0,62988;2,079861216;-0,11
0,48;769,92;0,052;0,016341435;0,63275;2,013470715;-0,13
0,48;772,3;0,042;0,013463753;0,6455;2,01362879;-0,14
0,465;787,45;0,056;0,017860997;0,60463;1,895710543;-0,125
0,475;793,7;0,055;0,017842501;0,59338;1,829110165;-0,115
0,475;786,54;0,0575;0,019166755;0,59075;1,772241857;-0,115
0,47;785,4;0,055;0,019899251;0,5855;1,618277011;-0,11
0,452;796,79;0,05;0,017914975;0,58388;1,629586385;-0,138
0,412;815,94;0,049;0,017546163;0,57738;1,612410676;-0,138
0,4;815,7;0,048;0,017927007;0,57575;1,541584724;-0,17
0,39;816,68;0,044;0,01644693;0,57375;1,534936944;-0,17
0,393;818,49;0,044;0,016097362;0,56538;1,545391106;-0,167
0,37;819,15;0,0428;0,015508022;0,56375;1,555872228;-0,21
0,36;811,77;0,0396;0,013586588;0,57038;1,662451855;-0,23
0,365;818,04;0,033;0,011567262;0,56625;1,615442796;-0,225
0,365;819,52;0,027;0,009290803;0,55588;1,615442796;-0,225
0,373;821,24;0,027;0,008943681;0,54575;1,647559814;-0,217
0,39;813,82;0,034;0,010756236;0,53325;1,685580298;-0,2
0,38;802,18;0,034;0,011284589;0,53863;1,622869845;-0,21
0,375;802,39;0,036;0,011196663;0,50563;1,62572366;-0,185
0,38;798,28;0,038;0,012059604;0,51563;1,624758221;-0,17
0,377;792,2;0,036;0,010554711;0,49225;1,67896597;-0,083
0,38;785,51;0,034;0,009372099;0,48813;1,770832672;-0,09
0,415;788,05;0,03;0,008176076;0,48413;1,776390006;-0,045
0,41;796,68;0,03;0,00829697;0,48013;1,736043363;-0,05
0,405;786,51;0,032;0,008870746;0,48125;1,736043363;-0,055
0,403;787,79;0,034;0,009226813;0,481;1,772442892;-0,067
0,395;788,63;0,035;0,00930169;0,47688;1,794383627;-0,065
0,4;787,31;0,032;0,008479792;0,4755;1,794383627;-0,06
0,42;785,33;0,0334;0,008941088;0,47;1,755714741;-0,04
0,415;787,19;0,036;0,009380898;0,4685;1,797908943;-0,055
0,4;773,61;0,036;0,009350498;0,46438;1,787892003;-0,09
0,415;768,59;0,0366;0,009296279;0,46325;1,823842676;-0,085
0,415;767,43;0,035;0,009121266;0,46213;1,773279044;-0,095
0,42;776;0,036;0,0090564;0,4595;1,826553522;-0,08
0,42;769,29;0,037;0,009508762;0,45688;1,777787642;-0,1
0,425;766,98;0,036;0,009134227;0,4605;1,814931809;-0,125
0,42;756,13;0,039;0,00958267;0,46113;1,876728519;-0,16
0,418;759,47;0,034;0,008096701;0,4565;1,916953578;-0,132
0,415;757,73;0,03;0,007056027;0,44863;1,907433202;-0,165
0,423;761,08;0,037;0,008679103;0,44675;1,90454597;-0,157
0,43;771,57;0,034;0,008179297;0,45088;1,87423443;-0,15
0,433;777,18;0,04;0,009631426;0,4435;1,841887237;-0,137
0,433;772,23;0,042;0,009853897;0,44638;1,902593552;-0,137
0,435;787,65;0,048;0,010460201;0,449;2,060381142;-0,135
0,442;802,69;0,05;0,010870364;0,45538;2,094594113;-0,128
0,44;792,6;0,05;0,010604539;0,45813;2,160065543;-0,12
0,435;792,68;0,053;0,011253396;0,45788;2,156472505;-0,095
0,435;792,66;0,053;0,011252369;0,4585;2,159589749;-0,095
0,44;798,27;0,055;0,011698085;0,46088;2,166884632;-0,09
0,438;804,4;0,055;0,011773547;0,46038;2,150660207;-0,092
0,438;795,04;0,052;0,010586538;0,44713;2,196257243;-0,092
0,44;783,48;0,053;0,01042909;0,44488;2,260853045;-0,08
0,44;788,1;0,05;0,009477957;0,44063;2,324498908;-0,08
0,44;793,85;0,049;0,009084582;0,441;2,378645388;-0,08
0,433;783,69;0,05;0,009124993;0,43913;2,406193597;-0,087
0,433;785,8;0,055;0,010073286;0,44;2,402393844;-0,087
0,44;785,92;0,057;0,010455622;0,44588;2,430764993;-0,07
0,442;785,1;0,059;0,010380833;0,44238;2,514289514;-0,068
0,447;778,51;0,053;0,009364427;0,44525;2,519988697;-0,023
0,425;776,66;0,0524;0,009269622;0,44525;2,516941868;-0,035
0,43;771,22;0,0504;0,00867772;0,43263;2,512705178;-0,04
0,505;770,88;0,05;0,008415894;0,425;2,524984351;0,045
0,512;775,08;0,047;0,007926025;0,42625;2,527591129;0,052
0,525;773,16;0,054;0,009035535;0,421;2,516065633;0,065
0,525;774,68;0,054;0,008606968;0,421;2,641348208;0,065
0,525;772,6;0,054;0,009394;0,427;2,454545455;0,065
0,52;767,44;0,0575;0,009813838;0,41475;2,430050808;0,08
0,52;770,47;0,055;0,009468322;0,41413;2,405616262;0,08
0,513;768,85;0,051;0,008932673;0,41388;2,362997076;0,083
0,515;763,99;0,05;0,00863367;0,40263;2,331743006;0,085
