Dias;YF(360);DF SOFR;DF CLP_CL;UF Seguro USD;DF Libor;DF USD_CLP;;codigocurva;tenor;DF;;;codigocurva;tenor;DF
8592;23,86666667;0,564764243;0,21742688;88210,70788;0,50276656;0,315279875;;CURVA_USD_USA;8592;0,564764243;;;;;
8774;24,37222222;0,557765434;0,209886671;89944,51747;0,496490557;0,303003668;;CURVA_USD_USA;8774;0,557765434;;;;;
8957;24,88055556;0,544664328;0,2025522;92552,67893;0,490289736;0,287744984;;CURVA_USD_USA;8957;0,544664328;;;;;
9138;25,38333333;0,532279932;0,195523497;94905,94826;0,484661144;0,273334405;;CURVA_USD_USA;9138;0,532279932;;;;;
9322;25,89444444;0,532019311;0,188620702;95830,8142;0,479131399;0,265353833;;CURVA_USD_USA;9322;0,532019311;;;;;
9504;26,4;0,531693457;0,182008031;96330,7308;0,473604744;0,257454969;;CURVA_USD_USA;9504;0,531693457;;;;;
9688;26,91111111;0,525199812;0,17554845;97791,48585;0,468230058;0,246719065;;CURVA_USD_USA;9688;0,525199812;;;;;
9869;27,41388889;0,518889424;0,169391808;99787,73981;0,462829267;0,236387931;;CURVA_USD_USA;9869;0,518889424;;;;;
10055;27,93055556;0,5124837;0,163291448;101653,7326;0,457576836;0,226213888;;CURVA_USD_USA;10055;0,5124837;;;;;
10234;28,42777778;0,506393738;0,157591319;103310,9797;0,452242233;0,216556973;;CURVA_USD_USA;10234;0,506393738;;;;;
10419;28,94166667;0,50017588;0,151914941;103979,3848;0,44716602;0,20703463;;CURVA_USD_USA;10419;0,50017588;;;;;
10601;29,44722222;0,494133365;0,146507716;104611,2717;0,441980494;0,197902871;;CURVA_USD_USA;10601;0,494133365;;;;;
10783;29,95277778;0,488164038;0,14128058;105261,0088;0,436937267;0,18907392;;CURVA_USD_USA;10783;0,488164038;;;;;
10965;30,45833333;0,482265253;0,136228191;105893,2562;0,436937267;0,18054417;;CURVA_USD_USA;10965;0,482265253;;;;;
