codigocurva;tenor;DF
Curva_Libor3M;8859;0,460730119
Curva_Libor3M;8949;0,453020801
Curva_Libor3M;9041;0,44526866
Curva_Libor3M;9135;0,437479961
Curva_Libor3M;9226;0,438070484
Curva_Libor3M;9317;0,438662314
Curva_Libor3M;9408;0,439255453
Curva_Libor3M;9499;0,439849905
Curva_Libor3M;9590;0,436327223
Curva_Libor3M;9681;0,432830517
Curva_Libor3M;9772;0,429359598
Curva_Libor3M;9864;0,425876572
Curva_Libor3M;9955;0,422456942
Curva_Libor3M;10045;0,419099691
Curva_Libor3M;10137;0,415693177
Curva_Libor3M;10229;0,412312073
Curva_Libor3M;10320;0,408992519
Curva_Libor3M;10410;0,405733526
Curva_Libor3M;10502;0,402426724
Curva_Libor3M;10594;0,399144596
Curva_Libor3M;10685;0,395922579
Curva_Libor3M;10776;0,392724345
Curva_Libor3M;10868;0,38951498
Curva_Libor1M;1;0,999935798
Curva_Libor1M;2;0,999870528
Curva_Libor1M;34;0,99774983
Curva_Libor1M;94;0,991862661
Curva_Libor1M;188;0,980569285
Curva_Libor1M;280;0,971265862
Curva_Libor1M;367;0,960453641
Curva_Libor1M;553;0,93975336
Curva_Libor1M;734;0,922229925
Curva_Libor1M;1098;0,893111527
Curva_Libor1M;1463;0,866354648
Curva_Libor1M;1828;0,839849885
Curva_Libor1M;2193;0,813063926
Curva_Libor1M;2558;0,78789111
Curva_Libor1M;2925;0,763126391
Curva_Libor1M;3289;0,738984823
Curva_Libor1M;3654;0,714763126
Curva_Libor1M;4385;0,667558935
Curva_Libor1M;5480;0,606732043
Curva_Libor1M;7307;0,51997857
Curva_Libor1M;10961;0,398349056
Curva_Libor1Y;1;0,999935798
Curva_Libor1Y;2;0,999870528
Curva_Libor1Y;367;0,956738987
Curva_Libor1Y;734;0,91544483
Curva_Libor1Y;1098;0,883039489
Curva_Libor1Y;1463;0,853165455
Curva_Libor1Y;1828;0,823732821
Curva_Libor1Y;2558;0,766260333
Curva_Libor1Y;3654;0,686365946
Curva_Libor1Y;4385;0,635952105
Curva_Libor1Y;5480;0,571134961
Curva_Libor1Y;7307;0,479793698
Curva_Libor1Y;10961;0,353417088
Curva_Libor6M;1;0,999935798
Curva_Libor6M;2;0,999870528
Curva_Libor6M;183;0,980947194
Curva_Libor6M;367;0,958287498
Curva_Libor6M;549;0,938012149
Curva_Libor6M;735;0,920218233
Curva_Libor6M;914;0,904398174
Curva_Libor6M;1099;0,88822667
Curva_Libor6M;1281;0,873266881
Curva_Libor6M;1463;0,858495958
Curva_Libor6M;1645;0,844224475
Curva_Libor6M;1828;0,830075235
Curva_Libor6M;2010;0,816098088
Curva_Libor6M;2194;0,802189047
Curva_Libor6M;2375;0,788637565
Curva_Libor6M;2559;0,77505309
Curva_Libor6M;2740;0,761901502
Curva_Libor6M;2926;0,74859139
Curva_Libor6M;3105;0,735834118
Curva_Libor6M;3290;0,722853771
Curva_Libor6M;3472;0,70992241
Curva_Libor6M;3655;0,697132079
Curva_Libor6M;3836;0,684563239
Curva_Libor6M;4020;0,672000519
Curva_Libor6M;4201;0,659870151
Curva_Libor6M;4385;0,64774265
Curva_Libor6M;4566;0,639077519
Curva_Libor6M;4750;0,630374755
Curva_Libor6M;4932;0,62491444
Curva_Libor6M;5117;0,619403726
Curva_Libor6M;5299;0,599079462
Curva_Libor6M;5481;0,579393847
Curva_Libor6M;5663;0,584642116
Curva_Libor6M;5846;0,58997433
Curva_Libor6M;6027;0,580204419
Curva_Libor6M;6211;0,570426367
Curva_Libor6M;6393;0,560904827
Curva_Libor6M;6577;0,551428128
Curva_Libor6M;6758;0,542250352
Curva_Libor6M;6944;0,532966153
Curva_Libor6M;7123;0,509819975
Curva_Libor6M;7308;0,486923075
Curva_Libor6M;7490;0,49294913
Curva_Libor6M;7672;0,499057419
Curva_Libor6M;7854;0,490788174
Curva_Libor6M;8038;0,482557844
Curva_Libor6M;8219;0,47458655
Curva_Libor6M;8403;0,466608711
Curva_Libor6M;8584;0,458882292
Curva_Libor6M;8768;0,451149593
Curva_Libor6M;8949;0,435750867
Curva_Libor6M;9135;0,420454926
Curva_Libor6M;9317;0,421234829
Curva_Libor6M;9499;0,422017687
Curva_Libor6M;9681;0,414938145
Curva_Libor6M;9864;0,407930163
Curva_Libor6M;10045;0,401105926
Curva_Libor6M;10229;0,394276389
Curva_Libor6M;10410;0,387662361
Curva_Libor6M;10594;0,381043264
Curva_Libor6M;10776;0,374598668
Curva_Libor6M;10962;0,368118254
Curva_CLP_CL;1;0,999701478
Curva_CLP_CL;2;0,999403045
Curva_CLP_CL;93;0,971835709
Curva_CLP_CL;183;0,944818544
Curva_CLP_CL;275;0,919049287
Curva_CLP_CL;367;0,895380676
Curva_CLP_CL;549;0,857210272
Curva_CLP_CL;738;0,822694803
Curva_CLP_CL;919;0,796130881
Curva_CLP_CL;1103;0,774626418
Curva_CLP_CL;1284;0,754169381
Curva_CLP_CL;1470;0,736781126
Curva_CLP_CL;1649;0,717773245
Curva_CLP_CL;1834;0,700271178
Curva_CLP_CL;2016;0,679954368
Curva_CLP_CL;2199;0,660928582
Curva_CLP_CL;2380;0,643258128
Curva_CLP_CL;2564;0,626478734
Curva_CLP_CL;2745;0,608260316
Curva_CLP_CL;2929;0,590608702
Curva_CLP_CL;3110;0,573544564
Curva_CLP_CL;3294;0,5569529
Curva_CLP_CL;3476;0,540340174
Curva_CLP_CL;3661;0,524108251
Curva_CLP_CL;3843;0,50742763
Curva_CLP_CL;4025;0,491309118
Curva_CLP_CL;4207;0,475733008
Curva_CLP_CL;4390;0,460598315
Curva_CLP_CL;4571;0,445761634
Curva_CLP_CL;4755;0,431172667
Curva_CLP_CL;4937;0,41720959
Curva_CLP_CL;5121;0,403555079
Curva_CLP_CL;5302;0,390555861
Curva_CLP_CL;5488;0,377639337
Curva_CLP_CL;5667;0,365365518
Curva_CLP_CL;5852;0,353099177
Curva_CLP_CL;6034;0,341412998
Curva_CLP_CL;6216;0,330100286
Curva_CLP_CL;6398;0,319149581
Curva_CLP_CL;6582;0,308439736
Curva_CLP_CL;6763;0,298236804
Curva_CLP_CL;6947;0,288205578
Curva_CLP_CL;7128;0,278649804
Curva_CLP_CL;7312;0,269255952
Curva_CLP_CL;7493;0,25991345
Curva_CLP_CL;7679;0,250643925
Curva_CLP_CL;7861;0,241851665
Curva_CLP_CL;8043;0,233343009
Curva_CLP_CL;8225;0,225109915
Curva_CLP_CL;8408;0,217105498
Curva_CLP_CL;8589;0,209439154
Curva_CLP_CL;8773;0,201913655
Curva_CLP_CL;8954;0,194743748
Curva_CLP_CL;9138;0,187707865
Curva_CLP_CL;9320;0,180973228
Curva_CLP_CL;9506;0,174336727
Curva_CLP_CL;9685;0,168139807
Curva_CLP_CL;9870;0,161971497
Curva_CLP_CL;10052;0,156099267
Curva_CLP_CL;10234;0,150425819
Curva_CLP_CL;10416;0,144945171
Curva_CLP_CL;10599;0,139626045
Curva_CLP_CL;10781;0,134514487
Curva_CLP_CL;10965;0,129531318
Curva_USD_CL;1;0,999867796
Curva_USD_CL;7;0,999031489
Curva_USD_CL;7;0,999031489
Curva_USD_CL;14;0,998210795
Curva_USD_CL;31;0,996670332
Curva_USD_CL;63;0,993448674
Curva_USD_CL;93;0,990932988
Curva_USD_CL;121;0,988867342
Curva_USD_CL;154;0,986202242
Curva_USD_CL;185;0,979893516
Curva_USD_CL;275;0,968025523
Curva_USD_CL;366;0,954300879
Curva_USD_CL;549;0,929062409
Curva_USD_CL;738;0,89752889
Curva_USD_CL;919;0,880009449
Curva_USD_CL;1103;0,863576391
Curva_USD_CL;1284;0,849783246
Curva_USD_CL;1470;0,836921079
Curva_USD_CL;1649;0,824951432
Curva_USD_CL;1834;0,813540268
Curva_USD_CL;2016;0,798690607
Curva_USD_CL;2199;0,784095602
Curva_USD_CL;2380;0,771020383
Curva_USD_CL;2564;0,758149163
Curva_USD_CL;2745;0,745021268
Curva_USD_CL;2929;0,732004531
Curva_USD_CL;3110;0,71912718
Curva_USD_CL;3294;0,70633923
Curva_USD_CL;3476;0,690981332
Curva_USD_CL;3661;0,675535686
Curva_USD_CL;3843;0,657810341
Curva_USD_CL;4025;0,640153837
Curva_USD_CL;4207;0,622755216
Curva_USD_CL;4390;0,605454005
Curva_USD_CL;4571;0,591889384
Curva_USD_CL;4755;0,578240815
Curva_USD_CL;4937;0,567388396
Curva_USD_CL;5121;0,556062094
Curva_USD_CL;5302;0,531862458
Curva_USD_CL;5488;0,508750779
Curva_USD_CL;5667;0,506052774
Curva_USD_CL;5852;0,502701327
Curva_USD_CL;6034;0,486680543
Curva_USD_CL;6216;0,470861552
Curva_USD_CL;6398;0,455258715
Curva_USD_CL;6582;0,439780395
Curva_USD_CL;6763;0,424701249
Curva_USD_CL;6947;0,409534146
Curva_USD_CL;7128;0,384041037
